Response	Times Correct	Times Incorrect	Total Appearances
b=0+x	0	2	2
ax-b=cx+b-b	2	0	2
x=b/c	0	2	2
d(bx-a)=____	0	2	2
x==____	0	2	2
ax+-a=____	2	0	2
a*-b+a*bx=____	2	0	2
ax+a(-b)=a	2	0	2
a+-b=c	0	2	2
a/-b=bx	2	0	2
a(-b+x)-c=____	0	2	2
b=b-b+b	0	2	2
e+ax=____	0	2	2
-a+a+bx=-c	0	2	2
____=b+cx-d-b	2	0	2
a+b=bx	2	0	2
a+b(x+a)-a=____	2	0	2
(x+a)-a=____	2	0	2
-b+cx=____	2	0	2
ex-c=-d	0	2	2
a=-b+c(x-d)	0	2	2
a-b=a-b	0	2	2
x-x+a=bx	0	2	2
-a--x=____	0	2	2
a=e	0	2	2
ax-a=d-a	0	2	2
____=bx-e	0	2	2
____=b-b+cx	2	0	2
____=ax-cx	0	2	2
ax+0=____	0	2	2
____=cx+-b	0	2	2
-b=-cx	2	0	2
a-a+x=a-a	2	0	2
-a--a+bx=-c--a	2	0	2
a(-b+bx)/a=c/a	2	0	2
ax+a(-b)=____	2	0	2
a=bx+c-c	0	2	2
x+a-a=b+b	0	2	2
a/-c=____	0	2	2
a--c=bx	2	0	2
a(ax-b)/a=____	2	0	2
b-dx=____	0	2	2
a=a-a-x	0	2	2
b/-a=____	0	2	2
+x=____	0	2	2
-ax=b	0	2	2
-ax=c	2	0	2
(ax-b)=d	2	0	2
a-a+x=b=a	0	2	2
a=-d+bx	2	0	2
ax+cx=____	0	2	2
a=b(cx-d)+e-e	0	2	2
a=dx+c	0	2	2
ax-a+a=c	2	0	2
-a+aX=____	0	2	2
+a-a+ax=____	0	2	2
____=0x	0	2	2
-a+bx-c+c=____	2	0	2
0/-a=____	2	0	2
a+b=ax-b+b	2	0	2
a(x+b)=-e	2	0	2
a(x+b)=-b	0	2	2
-x/-a=-a/b	0	2	2
cx-b=____	1	1	2
a+b=-b+b	0	2	2
b-a=x	1	1	2
____=b-b+bx	2	0	2
a+c=bx+c	0	2	2
(-b+cx)=e	2	0	2
a=dx-d*c	0	2	2
a(bx-b)/a=____	2	0	2
____=x=	0	2	2
c/b=____	0	2	2
a-a+x=a-b	0	2	2
ax+c=bx	2	0	2
ax+b-ax=0	0	2	2
c+ax+a*-e=____	2	0	2
____=(-x+b)-b	2	0	2
e=-cx	0	2	2
a(ax)+a=c	2	0	2
a(x+b)/a=c/a	2	0	2
-f=c(dx-e)	2	0	2
____=+x	0	2	2
a+bx+c=d	1	1	2
a(x-e)=f	2	0	2
-a+-c=____	0	2	2
a(x)+a(-b)+c=-d	2	0	2
a-a+bx=-c	0	2	2
dx+c=____	2	0	2
a+bx=-e	0	2	2
____=	0	2	2
ax+b-b=d	0	2	2
a=b+c*x-c	0	2	2
-a-c=____	1	1	2
a=f(dx)+c(-e)	0	2	2
a+b=-b+cx-c+b	2	0	2
x/-b=____	0	2	2
0-a=____	0	2	2
e=cx+d	2	0	2
a=e+fx-g	2	0	2
____=b*cx-b*d+e-e	0	2	2
a-b=c=x	0	2	2
____=b+cx/c	0	2	2
____=c-d	2	0	2
a(ax-b)/a=c/a	2	0	2
____=bx/a	0	2	2
x-a+a=c	0	2	2
-f=b(cx-d)	2	0	2
a+bx-d=____	2	0	2
a(x)-a(b)=a	2	0	2
____=b/-a	2	0	2
____=x=c	0	2	2
ax-ax=bx-ax+c	2	0	2
x+a=c	0	2	2
x+a=a	2	0	2
b=cx/c	0	2	2
dx-d=____	2	0	2
\a=____	0	2	2
ax+-e=____	2	0	2
a+d=____	0	2	2
ax+a=-c	2	0	2
a+bx=d+c	2	0	2
a=b+c*x-c*c	2	0	2
a+b-b=____	0	2	2
cx=cx	0	2	2
a=a-b	0	2	2
-a+ax=____	2	0	2
-a=-a	0	2	2
ax+-e=-d	2	0	2
a(ax=b)a(b)=____	0	2	2
____=e+b(cx)+b(-d)	2	0	2
dx=bx	0	2	2
ax/a=b/c	0	2	2
ax-b=d-c	2	0	2
a(x-b)=-d+c	2	0	2
____=b=a	0	2	2
a=b+c*-bx	0	2	2
-a*b=____	0	2	2
a(x+b)=-d-c	2	0	2
0-x=-c	0	2	2
0-x=-b	0	2	2
0=b-a	0	2	2
a*-b+a*cx=____	2	0	2
a(-b+cx)/a=d/a	2	0	2
-ax=-b/a	0	2	2
____=/-b	0	2	2
a*-b+a*bx=c	2	0	2
a=b(cx)-b(d)+e	2	0	2
____=dx+d	0	2	2
-a+b+a=____	0	2	2
____=-ax/a	0	2	2
ax+b-b=a	0	2	2
a=d*x-d*c	0	2	2
a+x=b-x-b	0	2	2
____=-x*-b	0	2	2
a(ax)+a=____	2	0	2
a-b+b=____	0	2	2
d=c+x	2	0	2
ax=b/a	0	2	2
____=-b.d	0	2	2
a+b=b+-b+cx	2	0	2
____=bx-bx-c	1	1	2
x=-x	0	2	2
____=+c	0	2	2
x+a-a=a-a+x	0	2	2
a(-b+x)/a=a/a	2	0	2
a+b(x)+d=____	0	2	2
a=x-b	0	2	2
0=a/-a	0	2	2
a(b+x)+c-c=-d-c	2	0	2
ax-bx=bx-bx	0	2	2
____=-ax	2	0	2
a*bx+a*-c=a	2	0	2
z=____	0	2	2
-x/-c=____	0	2	2
a-a=x	0	2	2
____=-b+b+cx	2	0	2
ax+-b=____	2	0	2
____=b-b+(-x)	2	0	2
0=a-a-x	2	0	2
c+ax-e=-d	2	0	2
ax/=____	0	2	2
-a/-c=____	0	2	2
____=ax-d	0	2	2
-c=b	0	2	2
____=ax-c	0	2	2
ax+b+b=____	0	2	2
(-x+a)-a=____	2	0	2
a-b=b-x+x	0	2	2
a+b(-c+x)-a=d-a	2	0	2
a=-b+c*x-c*d	2	0	2
a*-b+a*cx=d	2	0	2
a+dx+b-a=____	0	2	2
(a)(-x)=____	0	2	2
e=b+cx	2	0	2
c=-dx	2	0	2
(x-b)=____	2	0	2
-a+bx=c	2	0	2
a-b=b-bx	0	2	2
a-a-x=a	0	2	2
b=cx+ax	0	2	2
ax+c-c=____	1	1	2
-x=b-c	2	0	2
e=fx	0	2	2
a-b=b-b-	0	2	2
a-b=b-b=x	0	2	2
a=c(x-d)	1	1	2
____=cx+x	0	2	2
ax-b/c=____	0	2	2
-a=dx	0	2	2
a/-b=-a	0	2	2
a-b=b-b-cx	2	0	2
0=ax	0	2	2
-a+x+a=a+a	2	0	2
-c=0-x	0	2	2
a=b*x-c*b	2	0	2
-cx=-d	1	1	2
-x/-b=a-b	0	2	2
b=(x+c)	2	0	2
-a+bx-c+c=-d+c	2	0	2
0=cx-b	2	0	2
a*x=____	0	2	2
x-x=ax-b-x	2	0	2
a/b=b/b*x	2	0	2
a-x+b=____	0	2	2
-b+b+ax=____	2	0	2
-b/a=____	0	2	2
____=-x+b-a	0	2	2
ax-b=e	0	2	2
ax-b=d	2	0	2
a(b+x)/a=____	2	0	2
x-ax=-b	2	0	2
-e+a(cx)=d	2	0	2
ax?a=____	0	2	2
a=	0	2	2
a+x-x=____	2	0	2
a=dx+-b	0	2	2
ax-=____	0	2	2
-bx=-d	1	1	2
a+-a=____	0	2	2
a(bx)-a(-c)=____	0	2	2
____=a-0	0	2	2
____=b+-b	0	2	2
x=-a/-a	1	1	2
x+a-a=x+a-a	0	2	2
-c/-d=-x/-b	0	2	2
cx-ax=____	0	2	2
____=ex-c	0	2	2
a=cx+b	2	0	2
a=x=b	0	2	2
-a-x=____	0	2	2
-b/-a=____	0	2	2
____=-a-b	0	2	2
a/-b=c	0	2	2
a(x-b)+c-c=____	2	0	2
____=-c-x	0	2	2
xx=____	0	2	2
d=-cx	2	0	2
____=-d-c	2	0	2
a(bx-c)/a=a/a	2	0	2
____=-x/bx	0	2	2
-ax+ax+b=cx-ax	2	0	2
a+b=cx+b-b	2	0	2
a(x)-a(b)=____	2	0	2
dx=a=____	0	2	2
____=-b+c*x-c*d	2	0	2
bx-a+a=c+a	2	0	2
a+d=b+cx-d+d	2	0	2
a=0-a	0	2	2
a(x)+a(-b)+c=____	2	0	2
a=bx+-b+b	0	2	2
____=cx-x	1	1	2
a=-x+b-b	0	2	2
-c=b-b	0	2	2
a(b+x)+c-c=____	2	0	2
ax=-cx	0	2	2
a=b*c+b*x	2	0	2
____=b+x-x	2	0	2
0=a	1	1	2
0=c	0	2	2
b/b=____	0	2	2
____=bx-b=b	0	2	2
-a+-c+bx=____	0	2	2
a(-b+bx)/a=____	2	0	2
a/-b=-bx/b	0	2	2
a+b(-c+x)-a=____	2	0	2
a-x-a=b-x	0	2	2
a+x-x=b	0	2	2
a/x-e+c=____	0	2	2
a=b=____	0	2	2
b=-bx	0	2	2
____=b(x+c)/b	2	0	2
-x+c-c=____	1	1	2
____=-x+b+b	0	2	2
ax-b+c+b=d+b	2	0	2
a+b(x+a)-a=c-a	2	0	2
e=b+cx-d+d	2	0	2
a+-b=b/-b	0	2	2
bx-e=-d	2	0	2
bx+c-c=____	1	1	2
ax+b-b=-c+b	2	0	2
____=/a	0	2	2
a/b=b(x+c)/b	2	0	2
x+ax=____	0	2	2
bx-a+a=____	2	0	2
-c=0x	0	2	2
-cx=cx	0	2	2
d+bx+a=____	0	2	2
____=b*cx+e	0	2	2
a*bx+a*-c=____	2	0	2
ax+-b=d+c	0	2	2
-x/c=____	0	2	2
-x/-a=-b/a	2	0	2
____=-b+cx-b	0	2	2
____=-b+cx-d	0	2	2
x-0=-b	0	2	2
x=a+0	0	2	2
-ax=-b	0	2	2
-ax=-c	0	2	2
-a*-b=____	0	2	2
-x+a+a=____	0	2	2
a+a-a=____	0	2	2
-a+a-x=b+a	0	2	2
-x/-b=c	0	2	2
=____	0	2	2
____=+	0	2	2
cx=-b	2	0	2
ax+-b+b=c+b	2	0	2
-c=-d-x	0	2	2
ax-b-a=____	0	2	2
d(bx)+b(-a)=____	0	2	2
____=ex	0	2	2
bx=-a	2	0	2
a-b=-x-b+b	2	0	2
a+bx=d+a	0	2	2
b=a-x	0	2	2
a+x=a-x+x	2	0	2
____=a-x-a	2	0	2
____=b-bx	0	2	2
ax/a=-b-a	0	2	2
a-b=-x-b	0	2	2
dx-b=0x	0	2	2
-a/-=____	0	2	2
a+c=-b+cx-c+c	2	0	2
0+b=____	2	0	2
d=(bx+c)	2	0	2
ax=a-b	1	1	2
b+a=c	0	2	2
x+a-a=b+c	0	2	2
dx-b+b=____	0	2	2
0/-a=-x/-a	2	0	2
x-x=____	1	1	2
dx-c=____	1	1	2
____=c(x)+c(-d)	0	2	2
0x=____	0	2	2
a=a+x	0	2	2
a(cx-b)=____	0	2	2
(a+-x)-a=b-a	2	0	2
a-bx=cx	0	2	2
ax-c+c=____	1	1	2
____=-a-x	0	2	2
-x+a=b-a	0	2	2
a=b+c*x-d*c	2	0	2
a(-b+x)-a=____	0	2	2
e=cx	0	2	2
e=x	0	2	2
e=c	0	2	2
x=b+a	0	2	2
c=-x+b-b	2	0	2
-x-a-a=____	0	2	2
a(x)-b=____	0	2	2
ax+a-a=b	2	0	2
-a+a=x	0	2	2
a-x=-b	0	2	2
a+b(bx)-b(a)=c	2	0	2
a-x=-x	0	2	2
-cx/-c=____	0	2	2
(ax-b)+b=____	1	1	2
____=-x+a-a	0	2	2
ax+-a=d	2	0	2
a=d(x-d)	0	2	2
-x/-b=-a/b	0	2	2
xb=____	0	2	2
ax+a(b)=c	2	0	2
a=cx+-d	2	0	2
a=cx+-e	2	0	2
e=cx-d	2	0	2
-a+bx+b=____	0	2	2
a(-b+cx)/a=____	2	0	2
d=cx-b	0	2	2
a-b=(-x+b)-b	2	0	2
a+x-a=-b-a	2	0	2
-ax+ax+b=____	2	0	2
a/-b=-x/b	0	2	2
a+ax=-d	2	0	2
ax-ax=bx-ax-c	2	0	2
ax-cx-b=____	2	0	2
a=-x/-a	2	0	2
-a=b-b	0	2	2
-b=c-ax	2	0	2
-x+b-b=c-b	2	0	2
ex+-e=____	0	2	2
x=-dx	0	2	2
-a+bx+a=c	0	2	2
a+bx=c	0	2	2
a+bx-b+b=c+b	2	0	2
ex+c=d	2	0	2
x-a=b	0	2	2
____=-x*b	0	2	2
x=a=____	0	2	2
____=x-x+c	2	0	2
b-c=-x	1	1	2
-e=cx-d	2	0	2
a(bx)+a(c)=____	0	2	2
a=a-a	0	2	2
a+b=bx+-b+b	2	0	2
ex-a=d	2	0	2
dx+c=d	2	0	2
a/b=b/x	0	2	2
____=x+b	1	1	2
____=x+c	1	1	2
-b+x=a	2	0	2
a-a=a-x-a	2	0	2
-a--a+bx=____	2	0	2
-a/-a=x/-a	0	2	2
____=b(x-c)/b	2	0	2
c=-bx	0	2	2
a+bx-b+b=____	2	0	2
a(bx-c)/a=____	2	0	2
ax+-e+c=-d	2	0	2
a+b=-b-cx+b	2	0	2
a+bx-c+c=d+c	2	0	2
a=dx+-e	0	2	2
____=-b-cx	0	2	2
a(x)a(-e)=____	0	2	2
a-b=b-b+(-x)	2	0	2
a(b+x)/a=-c/a	2	0	2
____=dx-e	0	2	2
a=b-x-b	0	2	2
a=b+c(x)-c(d)	2	0	2
bx-b=x	0	2	2
a-x=b-x-b	0	2	2
____=-d+bx	2	0	2
-x/-b=a/b	0	2	2
x+b=d	2	0	2
____=-a/-a	0	2	2
-d=e	0	2	2
____=-bx/-c	0	2	2
-a/x=____	0	2	2
a(x)=____	0	2	2
x-a+a=b-a	2	0	2
a+bx-a=c	2	0	2
____=-a-	0	2	2
(-b+cx)=____	2	0	2
a=-bx	0	2	2
d(bx)-b(a)=c	0	2	2
-a/bx=____	0	2	2
-dx=bx	0	2	2
x+a-0=____	0	2	2
a-x-a=x	0	2	2
____=bx+e	2	0	2
a=b+c(x)-d	2	0	2
____=-b+b-x	2	0	2
a-bx=b+x-x	2	0	2
ax-a-b=____	0	2	2
a/b=bx/a	0	2	2
/b=____	0	2	2
ax/a+b=____	0	2	2
xa/a=____	0	2	2
a(-b+cx)=____	0	2	2
____=-x/-bx	0	2	2
____=d-c	2	0	2
b=-cx	1	1	2
a=b+c(x)-c(c)	1	1	2
ax+b-b=cx	0	2	2
a*bx=____	0	2	2
ax-b+c-c=____	2	0	2
a(x+b)/a=____	2	0	2
c+a(bx)=____	0	1	1
a=--c-bx	0	1	1
a+c=bx+-c+c	1	0	1
a[-b+x]=c-d	0	1	1
a-a+bx=b	1	0	1
d=b=cx	0	1	1
a=-e(dx)+f	0	1	1
bx+b=c	1	0	1
(a(-b+x)=-e	0	1	1
a=b=x=____	0	1	1
____=b(cx-d)+e	0	1	1
____=-b/	0	1	1
c*x-c+-a=____	0	1	1
ax+-b+b=a+b	1	0	1
a=ax-c	0	1	1
ax/a=-b//a	0	1	1
e=cx+f	0	1	1
a-b=x+b-a	0	1	1
c=x+b-b	1	0	1
e(-x)=____	0	1	1
a+c=-c+c	0	1	1
x.=0-a	0	1	1
0x=bx-bx+c	0	1	1
b-b=-x	0	1	1
a(x)-a(-e)=____	0	1	1
xc=____	0	1	1
a-b=b-b*x	0	1	1
b-a=a-a+x	1	0	1
a(-b+x)-c=-d	0	1	1
____=b+c*x-c-b	0	1	1
ax+-ax=x	0	1	1
x=0.a	0	1	1
____=d+cx-e	1	0	1
a/ax=a/a	1	0	1
a/ax=a/b	0	1	1
dx+=____	0	1	1
-a+bx-eo+a=____	0	1	1
a/a=b/b*x	0	1	1
d+b(x)+b(e)=____	1	0	1
(x-b)=b	1	0	1
(x-b)=c	1	0	1
(x-b)=a	0	1	1
a(-bx)+c=____	0	1	1
a=-e(dx)+c(d)	0	1	1
____=b-c	0	1	1
-a/-b=cx	0	1	1
bx-bx=-c	0	1	1
____=b(cx)+b(-d)+f	0	1	1
a=-b+c(x)+c(-d)+b	0	1	1
a=b+-d+cx	0	1	1
ax+ax+b=____	0	1	1
-a+b=-b+b+cx	1	0	1
b=c	0	1	1
x.=____	0	1	1
____=x-a	0	1	1
____=x-c	0	1	1
axb-b=____	0	1	1
+=-d+b(cx)+b(c)	1	0	1
a-x=a-x/x	0	1	1
a=x-b+-..	0	1	1
b(x+c)=-e	1	0	1
b(bx)+b(d)=c	1	0	1
a=ax+-d	0	1	1
-e=-d	0	1	1
a+b(b/bx-a)=____	0	1	1
ax+=____	0	1	1
bx+(-a)=d	1	0	1
ax=c+	0	1	1
-a/-a=-a/-a	0	1	1
ax-c+d=____	1	0	1
a+-c=bx+c-c	1	0	1
a-b=b+c	0	1	1
a-b=b+b	0	1	1
____=mathitishard	0	1	1
ax/b=b/a	0	1	1
ggggg=____	0	1	1
a--a=____	0	1	1
-b=cx-b	0	1	1
e.f=____	0	1	1
a+b(x)-e=d	1	0	1
____=b+b=a	0	1	1
x=o	0	1	1
0-b=ax+b-b	1	0	1
ax+-d=____	0	1	1
dx-b=cx	0	1	1
a+b=b+x-x	0	1	1
b-a=a-a	0	1	1
b(-d)+b(x)=____	1	0	1
a=bx=b=____	0	1	1
(=____	0	1	1
ax-e+c=d+c	0	1	1
a-c-b=____	0	1	1
ax+b/b=____	0	1	1
-a+bx-b=____	0	1	1
x-+a=b-x	0	1	1
-a/-c=-x/-b	0	1	1
a+b=dx+b	0	1	1
b=xb-b	0	1	1
x+a=0=____	0	1	1
____=b(dx)+b(c)	0	1	1
b=b+0	0	1	1
-x+c-c=d-c	1	0	1
a=ax-b	1	0	1
a/-b=-x/-a	0	1	1
____=cx-e+e	0	1	1
a-a=x=____	0	1	1
____=cx-e+b	1	0	1
c=a-b	0	1	1
/c=____	0	1	1
b(-c+x)/b=____	0	1	1
a-b=b-a-x	0	1	1
b-a=b+x-b	0	1	1
-a/-b=-bx/b	0	1	1
-a/-a=-x/a	0	1	1
(a*ax)+(a*b)=____	1	0	1
a=-d=ex0	0	1	1
bx+c=e	1	0	1
-c=x-x	0	1	1
a=b(cx-d+d)+e	0	1	1
-a+c=____	0	1	1
d=-e	0	1	1
____=blue	0	1	1
circle=____	0	1	1
-ax+ax-b=cx	0	1	1
____=-b-b-x	0	1	1
b=b+b	0	1	1
____=fx-g+e-e	0	1	1
-b+b+ax=c	0	1	1
a=-b+cx+b	0	1	1
gfc=____	0	1	1
0x=-e=____	0	1	1
a=a(cx-d)+e-e	0	1	1
0/0=____	0	1	1
a+bx-bx=-c	0	1	1
-x/-a=-a	0	1	1
a-b=b-	0	1	1
a+x=-x+b	1	0	1
c+ax+a*-e=d	1	0	1
-a+ax=d	1	0	1
-c+ax+a(-b)=-d	1	0	1
x(a)-b(a)+c=-d	1	0	1
ax-b=b=c+b	0	1	1
a--d=b+cx+-d--d	1	0	1
a=b*x+b*c	1	0	1
a-x=b=x	0	1	1
b(x-c)=e	1	0	1
c=b-xd	0	1	1
x+a-a=x=0	0	1	1
-c+a(x)+a(-a)=-d	0	1	1
0=a-a	0	1	1
-xx-b=____	0	1	1
a-b=`0-b	0	1	1
c=bx-b+b	1	0	1
____=cx+-b+b	1	0	1
____=x/-b	0	1	1
a-y=____	0	1	1
dx-c=0	1	0	1
0=a-0	0	1	1
a+b(bx)a+b(-a)=____	0	1	1
____=-d+cX	0	1	1
-a+a+bx=-c=a	0	1	1
d(-c+x)=____	0	1	1
-=-x	0	1	1
a+b=bx-c	1	0	1
-a-c+bx=____	0	1	1
b-b-ax=____	0	1	1
b=b-b+0	0	1	1
cx=bx+c	0	1	1
ax-c/b=____	0	1	1
b-c=c+x-c	1	0	1
-a/-b=bx	1	0	1
e+x=____	0	1	1
e=-e+cx	0	1	1
/x=____	0	1	1
x+a-a=a-a=x	0	1	1
c[dX]+c[-d]=____	0	1	1
b=b-b+#	0	1	1
-x--b=____	0	1	1
b(x+c)=____	1	0	1
____=bx+b-c-b	1	0	1
a(ax)a(b)=____	0	1	1
____=cxc-c	0	1	1
ax-b-d=____	0	1	1
-x/-b=-x	0	1	1
-a+ax+a=c+a	0	1	1
a+(-b+x)=____	0	1	1
-c=d-x	0	1	1
a--x=b	1	0	1
d=b-b+cx	1	0	1
-dx+b=____	0	1	1
x-bx=____	0	1	1
a+bx+b-a=____	0	1	1
a(bx)+a(-c)=a+x	0	1	1
a=dx*c	0	1	1
ax-b+b+c=d+b	1	0	1
a+b=cx+b+-b	1	0	1
c=b+a	0	1	1
a*b+a*x+c=-d	1	0	1
(a*ax)+(a*b)=c	1	0	1
a=d(x)+(-c)	0	1	1
-x/-a=-b-a	0	1	1
a+b=-x	0	1	1
b-`a=-x	0	1	1
-c/c=____	0	1	1
a=[b*bx]+[b*c]	0	1	1
a/-b=x=-a	0	1	1
xx-0=____	0	1	1
a+b=-c	0	1	1
ax/bx=____	0	1	1
a-b=bx-b+b	0	1	1
ax-ax=-dx	0	1	1
a+x=x	0	1	1
x-x+a=b	0	1	1
a+x=a	1	0	1
a=-	1	0	1
-x+b-b=-x	0	1	1
-a=c	0	1	1
ax-b=c-b	0	1	1
(x-b)=-a	0	1	1
____=0-x	0	1	1
a=-b+b+cx	1	0	1
-a*a=____	0	1	1
a+-b=x-b	0	1	1
e+ax-e=____	0	1	1
ax-e=d-c	0	1	1
a=f	0	1	1
____=bx-x	1	0	1
ax-b+b=ax+d	0	1	1
-=b	0	1	1
____=bx-d	1	0	1
ax+b-b=c-a	0	1	1
____=bx-a	1	0	1
____=b+c*x-c*d	1	0	1
b(cx)=____	0	1	1
x+a-a=]	0	1	1
ax-b=cx-ax	0	1	1
-ax+b=____	0	1	1
ax-c=d=____	0	1	1
x+a-a=cbgh	0	1	1
a(ax)=____	0	1	1
dx-0=____	0	1	1
a/c=x	0	1	1
____=-d+e	0	1	1
b=c+b	0	1	1
____=b+c(x)+c	0	1	1
a=b+c\	0	1	1
a=b+cx+-e\	0	1	1
x+a-a=-	0	1	1
a+b(bx-a)-a=c-a	1	0	1
x+a-a=b+a	0	1	1
e+ax=-d	0	1	1
a*x+a*-e+c=d	1	0	1
a-a=a-a-x	1	0	1
____=b+c*x-c	0	1	1
x=xc	0	1	1
a=bx+b=____	0	1	1
a=b=x=x	0	1	1
e+x+b=____	0	1	1
ax+-a+a=____	1	0	1
dx-a=____	1	0	1
x(a)+b(a)=____	1	0	1
d+dx=c	0	1	1
bx=-c--a	1	0	1
ax-b+b=bx+c-b	1	0	1
a=d+c(x)+c(c)	0	1	1
a/b=bx*b/b	0	1	1
-(cx)=d	0	1	1
a=d+cx-e	1	0	1
e=-f+cx	0	1	1
-c=-b-x	0	1	1
ax-b=bx+c-bx	0	1	1
(a*-b)+(a*cx)=____	1	0	1
0+b=ax	1	0	1
a+-a+bx=____	1	0	1
a/b+c=____	0	1	1
dx-a=c	1	0	1
a(-b)+a(x)-c=____	1	0	1
x+a+b=____	0	1	1
a+b*x+b*a=a+b*c	0	1	1
ax=-b-a	1	0	1
a_x=b-a	0	1	1
b-b=c-b=d=____	0	1	1
____=bx+bx+c	0	1	1
ax-b+b=cx/a	0	1	1
bx+c-c=0-c	1	0	1
-x=-c\	0	1	1
ax=c+d	0	1	1
x=+-b	0	1	1
a+ax+c-c=____	0	1	1
____=b-b-	0	1	1
d(x)a=____	0	1	1
ax-b/ax+b=cx	0	1	1
a-x=a	0	1	1
a-a=-a	0	1	1
-x-a=b	0	1	1
a-a=-b	0	1	1
a=b-b-a	0	1	1
-b--b+ax=____	1	0	1
____=cx-cx+d	1	0	1
b-a=a+x-a	1	0	1
-ax+cx+b=-cx+cx+d	1	0	1
a-x=x	0	1	1
a=e+bx	1	0	1
-a-bx-c=-d	0	1	1
ax-c+b=-d	0	1	1
a=dx+d	0	1	1
a-b=-b-b	0	1	1
____=divide-b	0	1	1
____=-b+cx/c	0	1	1
____=0-	0	1	1
____=ex+-f	1	0	1
a=b(cx-d)+e)-e	0	1	1
____=a-c	0	1	1
(b+x)=-d	1	0	1
a(x)+d=____	0	1	1
c-d=-x+d-d	1	0	1
-b/-b=____	0	1	1
x=0.	0	1	1
b=+b	0	1	1
____=%-b	0	1	1
a+b`c=x	0	1	1
dx+a*b=____	1	0	1
ax-dx=bx-c-bx	0	1	1
a(x)+a(-e)=____	0	1	1
____=-a/a	0	1	1
-a+a-x=-b	1	0	1
-0.d=____	0	1	1
x-a=-b	0	1	1
-a+ax+a=b+	0	1	1
ax+-c+c=____	0	1	1
d(bx)+-a=c	0	1	1
a=-e	0	1	1
a=d*x	0	1	1
ffgwfeg=____	0	1	1
x-x+a=cx	0	1	1
b(-c+x)=d-a	1	0	1
____=b+c*x-c/b+c	0	1	1
____=b/b*x	1	0	1
____=b+c(x-c)-b	1	0	1
a+dX-b=____	0	1	1
-b-a=b-b+cx	0	1	1
a=bx-b+b(-c)	0	1	1
cx+b-cx=dx-cx	1	0	1
a+bx-bx=-c-bx	1	0	1
a+c=bx-c	0	1	1
____=b(x)	0	1	1
(x)=____	0	1	1
a=a*-cx	0	1	1
-a/a=-ax/-a	0	1	1
-c/-a=____	0	1	1
ex+b=-d	0	1	1
a=bx+x	0	1	1
x'l]=____	0	1	1
-a/b=b(cx-d)/b	1	0	1
____=b(cx+c)	1	0	1
-z=____	0	1	1
-x/-a=-a/-a	0	1	1
a=cx+b-d	0	1	1
-x-a-=____	0	1	1
a*-b+cx=____	0	1	1
-c=-a	0	1	1
d+bx]=____	0	1	1
x-c=-c	0	1	1
-a+bx=-d+c	1	0	1
b-a=b	0	1	1
____=xc	0	1	1
a-a+x=0-0	0	1	1
a/cx=cx	0	1	1
c+a(b)+a(x)=____	1	0	1
a*x=c	0	1	1
____=b+(cx)+c(-c)	1	0	1
a+x-x=b-x	1	0	1
a=b+c*(x)+c*(-d)	1	0	1
a-b=b=+-b	0	1	1
a=-b+cx	0	1	1
a=-b+cx+	0	1	1
aX-e+c=____	0	1	1
-a=ex+-f	1	0	1
ax-c/b=bx+c/b	0	1	1
a*(-b=____	0	1	1
a-a+x=0-b	0	1	1
____=x0	0	1	1
x+a-x=cx	1	0	1
____=b(bx+c)/b	1	0	1
a=a-a+bx	1	0	1
____=-b/-b	0	1	1
____=x'	0	1	1
a/a/x=____	0	1	1
a+-b+x=____	0	1	1
a=b-c*x-d*c	0	1	1
e(x)+=____	0	1	1
ax-b+-c=____	0	1	1
a-b-c=____	0	1	1
____=-a*-b	0	1	1
bx+d=c	1	0	1
a=b+cx+c-c	0	1	1
bx=-dx	0	1	1
a-a-bx=-b-a	1	0	1
a=b-b-x	1	0	1
x=0=a=____	0	1	1
ax+d=c	1	0	1
-c+ax+(-b)=-d	0	1	1
a(ax=____	0	1	1
a-b=-b+b+cx	1	0	1
____=b/c	0	1	1
a+-x+a=____	0	1	1
a+b*x+b*a=c-a	0	1	1
ax=0	0	1	1
Dividebya=____	0	1	1
0x=-dx	0	1	1
a+b-b(bx-a)=____	0	1	1
-a+a=0=____	0	1	1
c+x=____	0	1	1
a=b+x-x	0	1	1
a/a(x-b=____	0	1	1
-a+b(x)/b=____	0	1	1
a*x-a*-e=____	0	1	1
a=d(x)\+(-c)	0	1	1
ax+b-ax=b	0	1	1
a/a+x=____	0	1	1
a+bx-b=-d	0	1	1
-a/-b=b/-b	0	1	1
-a+bx/-a=____	0	1	1
-d+bx=c	0	1	1
(x+b)=____	1	0	1
e=c(x-d	0	1	1
a=d(x)-d(d)	0	1	1
a=-b+cx-b	0	1	1
b=b-b	0	1	1
a(x)-a(____=____	0	1	1
c+a=c	0	1	1
=a=____	0	1	1
____=-cx+cx+b	1	0	1
a=b+bx+b+c	0	1	1
a=x-	0	1	1
a=b(ex)]	0	1	1
a=x0	0	1	1
a+bx-d=e	1	0	1
-a+bx+a=-c+c	0	1	1
c==____	0	1	1
a=a=____	0	1	1
-d=bx-c+c	0	1	1
ax-d+d=____	0	1	1
a=b[bx]+b[c]	0	1	1
a=fx+-g+e	1	0	1
ax-bx=bx+bx-c	0	1	1
a-b+x-a=____	0	1	1
d+b(x)+b(e)=-c	1	0	1
ax+b-b=-c=b	0	1	1
a-b+(cx)=____	0	1	1
c-c+a(x-e)=d-c	1	0	1
